qoi_family,qoi_name,case_or_source_family,retained_time_source,neighbor_window_status,drift_status,source_paths,next_extraction_task,thesis_destination,status_now
pressure,lower_right_corner_available_pressure_residual,pressure_corner_basis_recovery; salt2/salt3/salt4 mainline,present: retained times 7915 s; 7618 s; 10000 s recorded for current lower-right corner residual rows,missing: same-label neighboring windows are blocked_missing_neighbor_window,not_evaluated: no neighboring-window drift can be computed because current result is hydrostatic-dominated section-effective pressure residual with material reverse flow,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv,Run existing-artifact same-label/formula/sign time-window preflight for lower_leg__s04->right_leg__s00; queue compute-node sampling only if windows are absent,Chapter 6 same-QOI uncertainty table; Chapter 7 pressure-corner limitation,blocked: retained time present; neighboring windows missing; same-QOI GCI missing; no K/F6 admission
pressure,corner_lower_right_section_effective_pressure_residual,two_tap_face_qref_uq_progress; salt2/salt3/salt4 mainline,present: single_retained_window_available for salt2/salt3/salt4,missing: blocked_missing_neighbor_window,not_evaluated: material reverse flow rejects ordinary q_ref and prevents drift/admission use,work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/uq_gap_queue.csv,Use pressure-corner same-QOI time/mesh inventory route; do not convert residual into component K,Chapter 6 pressure uncertainty gate; Chapter 7 pressure diagnostic caveat,blocked: diagnostic section-effective residual only
pressure,F6_endpoint_pressure_delta,f6_endpoint_pair_same_qoi_uq_preflight; clean endpoint pairs for salt2/salt3/salt4,missing: geometry_preflight_only_no_pressure_window,missing: blocked_missing_neighbor_window,not_evaluated: no raw pressure window exists yet for drift comparison,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv,Claim raw F6 endpoint face sampler row that emits retained and neighboring windows before any F6 review,Chapter 6 pressure/F6 uncertainty row; Chapter 7 F6 non-admission note,blocked: endpoint geometry selected but raw pressure-time evidence missing
pressure,F6_endpoint_face_raw_pressure_velocity,f6_endpoint_face_uq_execution; coarse/medium/fine endpoint face matrix,partial: single sample times are listed for coarse faces but rows are blocked_pending_raw_sampler_output or missing required fields/time,missing: blocked_missing_neighbor_window,not_evaluated: drift cannot be computed until raw p/p_rgh/U/rho-or-T face summaries exist,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/next_evidence_sequence.csv,Complete face sampler outputs across retained and neighboring windows with mesh-level labels; keep no-fit gate active,Chapter 6 F6 uncertainty blocker table; Chapter 7 pressure limitation,blocked: sampler output and neighboring windows missing
recirculation,pm10_pressure_partial_residual_v1,pm10_upcomer_same_qoi_uq_preflight; salt2_lo10q/salt2_hi10q/salt4_lo10q/salt4_hi10q,present: single_retained_window_members_1 for four PM10 rows,missing: missing_no_same_qoi_neighbor_windows,not_evaluated: no same-QOI neighbor family exists; PM10 remains pressure/source-envelope lane,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/uq_gap_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/terminal_source_family_matrix.csv,Wait for terminal same-QOI mesh family and neighboring retained windows; do not fit/select model from PM10 rows now,Chapter 6 recirculation uncertainty gate; Chapter 7 source-envelope caveat,blocked: retained single member present; neighboring windows and mesh family missing
recirculation,V_recirc_mdot_exchange_tau_recirc,upcomer_exchange_evidence_preflight; matched-plane/upcomer diagnostic proxy,partial: retained proxy windows exist for salt2/salt3/salt4 upcomer diagnostics but are not admission-grade for exchange QOIs,missing: same-QOI neighboring windows blocked_or_terminal_gated,not_evaluated: exchange-state drift cannot be computed because V_recirc; mdot_exchange; tau_recirc are missing,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/exchange_variable_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/same_qoi_uq_status.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/upcomer_exchange_qoi_rows.csv,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,Chapter 6 recirculation uncertainty gate; Chapter 7 upcomer validity envelope,blocked: diagnostic RAF/RMF/SVF present; exchange-state QOIs missing
recirculation,terminal_source_family_exchange_QOIs,upcomer_exchange_terminal_source_readiness; latest_corrected_Q/high_heat/PM10/two_tap/upcomer source families,missing: terminal_harvest_ready_now=false and live terminal sources are not harvested,missing: neighbor windows unavailable until terminal success and harvest/sampler output,not_evaluated: drift cannot be evaluated before terminal harvest; older completed harvester is superseded for latest corrected-Q evidence,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/terminal_source_family_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/required_exchange_qoi_coverage.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,Chapter 6 recirculation source-readiness note; Chapter 7 validity envelope,blocked: terminal/source readiness not complete
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,thermal_mesh_gate; salt2 thermal mesh rows,partial: medium/fine retained outputs are available if computed,missing: blocked_missing_neighbor_window,not_evaluated: neighboring-window drift missing; sign policy and coarse thermal triplet remain blockers,work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,Resolve wallHeatFlux/enthalpy/UA sign convention and right-leg/downcomer policy then join exact retained and neighboring thermal windows before admission review,Chapter 6 thermal uncertainty rows; Chapter 7 heat-loss caveat,blocked: two-level thermal diagnostics exist for some rows but neighboring windows and accepted same-QOI GCI are absent
thermal,internal_Nu_fit_by_segment,thermal_row_admission_ledger; downcomer/lower_leg/upcomer,not_applicable: ledger rows are existing admission artifacts rather than retained-time extracts,missing: blocked_not_demonstrated_as_same_qoi_neighbor_window,not_evaluated: no same-window drift basis; fit set remains empty or validation-only,work_products/2026-07/2026-07-15/2026-07-15_thermal_row_admission_ledger/thermal_row_admission_ledger.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,Reopen only after matched-plane thermal/vector extraction; onset anchors; mesh/time uncertainty are admitted,Chapter 6 thermal uncertainty blocker; Chapter 7 ordinary upcomer disablement,blocked: ordinary internal Nu remains disabled
heat_loss,HX_cooler_candidate_and_final_predictive_heat_path,thermal_row_admission_ledger; heatloss_phase_5_frozen_scorecard,not_applicable: ledger rows are candidate/scorecard artifacts and not retained-time CFD samples,missing: blocked_not_demonstrated_as_same_qoi_neighbor_window,not_evaluated: no neighboring-window drift; Phase 5 freeze is negative with zero frozen heat-loss candidates,work_products/2026-07/2026-07-15/2026-07-15_thermal_row_admission_ledger/thermal_row_admission_ledger.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,Separate setup-legal heat-loss terms from diagnostic replay and scorecard lanes; keep final freeze negative until hydraulic/cfd-pp/runtime gates pass,Chapter 6 heat-loss uncertainty; Chapter 7 final scorecard limitation,blocked: no runtime-legal frozen heat-loss candidate
heat_loss,upcomer_exchange_heat_loss_fields,heatloss_upcomer_exchange_evidence_extraction; salt2/salt3/salt4 mainline,present: case_time_window_queue records 7915 s; 7618 s; 10000 s for required extraction,missing: neighboring windows and same-QOI UQ remain required field groups,not_evaluated: no drift/admission because exchange fields V_recirc; mdot_exchange; tau_recirc; paired thermal state are missing,work_products/2026-07/2026-07-21/2026-07-21_heatloss_upcomer_exchange_evidence_extraction/case_time_window_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_upcomer_exchange_evidence_extraction/upcomer_exchange_extraction_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_upcomer_exchange_evidence_extraction/summary.json,Claim compute-node sampler implementation/execution row for required field groups; preserve no-admission/no-score guardrail,Chapter 6 heat-loss uncertainty and upcomer exchange blocker; Chapter 7 heat-loss limitations,blocked: extraction contract complete; sampler not launched; scoring not allowed
same-QOI admission,cross_family_same_QOI_UQ_table,litrev_same_qoi_uq_execution; 83 reviewed rows,mixed: retained evidence is present/partial/not-applicable by source family,missing: 83/83 rows have missing or not-demonstrated neighboring-window support,not_evaluated: no consolidated same-QOI drift table can be admitted until Phase A/B evidence joins land,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/uq_gap_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_and_fluid_phase_study_dispatch/same_qoi_uq_required_outputs.csv,Use this Phase A inventory as input to Phase B mesh/GCI matrix and Phase C admission table; do not admit UQ from Phase A,Chapter 6 same-QOI admission table,blocked: zero newly admitted rows; Phase A inventory only
